seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,156,128,64,16,16,0.25,0.7091958912752663,1.416914969458692,0.8536500918309275,0.8465609600219174,0.8642452207739688,3088,3072,2048,0.49704118779828077
0,157,128,64,16,16,0.25,0.7000722150513929,1.419147055414819,0.8435718468883681,0.8428455789041761,0.8671420222920836,3088,3072,2048,0.5098988937130361
0,158,128,64,16,16,0.25,0.7021860589868232,1.4211100078960013,0.8823332105782871,0.8432736644002085,0.8671534932629402,3088,3072,2048,0.5069347385645537
0,159,128,64,16,16,0.25,0.7048402679342168,1.4124661171377804,0.8697919377013492,0.8448919226497572,0.8686458188357223,3088,3072,2048,0.5032001966984214
0,160,128,64,16,16,0.25,0.6927920093142168,1.4221553883515667,0.8888340638508295,0.8397358123658667,0.8675192046009187,3088,3072,2048,0.5200392318303699
0,161,128,64,16,16,0.25,0.6979974974304272,1.4249788955265617,0.8401056619795717,0.8375300571033544,0.8681976815241556,3088,3072,2048,0.5127994935808606
0,162,128,64,16,16,0.25,0.6960879588412489,1.4114096262897544,0.8632938333599182,0.8377361790104152,0.8614457110220193,3088,3072,2048,0.5154615535562238
0,163,128,64,16,16,0.25,0.708096923698628,1.4228836650833578,0.8549315233151584,0.8454643505905173,0.8664203686780627,3088,3072,2048,0.4985987466485395
0,164,128,64,16,16,0.25,0.6945207750871556,1.407761990921741,0.86969616317512,0.8409851711136752,0.8668037850950623,3088,3072,2048,0.5176408929723365
0,165,128,64,16,16,0.25,0.7008369796213509,1.4030201710057844,0.8457257613120345,0.8394345980222802,0.8717673556873556,3088,3072,2048,0.5088275279952222
0,166,128,64,16,16,0.25,0.7024232082348729,1.4132369810294456,0.8255401101576609,0.8415392234013407,0.8647299686579715,3088,3072,2048,0.5066016365330285
0,167,128,64,16,16,0.25,0.7038004848208951,1.4103084501963257,0.8479591098076518,0.845890954131317,0.8657753776719903,3088,3072,2048,0.5046648775658731
0,168,128,64,16,16,0.25,0.7042122787497418,1.411855037007576,0.8424823326818773,0.8459627397202956,0.868997386442601,3088,3072,2048,0.504085066458096
0,169,128,64,16,16,0.25,0.6963161552606028,1.419586271294101,0.8238040898946785,0.8435187139569669,0.8703735253811946,3088,3072,2048,0.5151438119230919
0,170,128,64,16,16,0.25,0.699740695666839,1.4152530654196886,0.8691489208790523,0.8428723720287421,0.8709900918539576,3088,3072,2048,0.5103629588276881
0,171,128,64,16,16,0.25,0.6992414093615632,1.415588672319332,0.9124235241775385,0.844812056765167,0.8642047868895665,3088,3072,2048,0.5110614514340551
0,172,128,64,16,16,0.25,0.702925185274297,1.4206239987061866,0.8638662275711925,0.8415868544590002,0.8604867414824511,3088,3072,2048,0.5058961839070956
